city,strategy,scenario,pct,seed,flood_reduction,mean_hm,food_mln_lbs,carbon_tons_co2_yr,runoff_acre_feet,elapsed_s,saturated
"Minneapolis, MN",flood-focused,all_gi,25,3,32.01,0.27090001106262207,0.0,2932.6,185.2,0.031,False
"Minneapolis, MN",flood-focused,all_gi,25,4,32.01,0.27079999446868896,0.0,2932.6,185.2,0.03,False
"Minneapolis, MN",flood-focused,all_gi,25,5,32.0,0.27059999108314514,0.0,2932.6,185.4,0.03,False
"Minneapolis, MN",flood-focused,all_gi,25,6,32.01,0.27079999446868896,0.0,2932.6,185.2,0.031,False
"Minneapolis, MN",flood-focused,all_gi,25,7,32.01,0.27070000767707825,0.0,2932.6,185.2,0.03,False
"Minneapolis, MN",flood-focused,all_gi,25,8,32.01,0.2712000012397766,0.0,2932.6,185.2,0.03,False
"Minneapolis, MN",flood-focused,all_gi,25,9,32.01,0.27070000767707825,0.0,2932.6,185.2,0.031,False
"Minneapolis, MN",flood-focused,all_gi,50,0,39.67,0.36730000376701355,0.0,5865.1,61.6,0.033,False
"Minneapolis, MN",flood-focused,all_gi,50,1,39.66,0.36719998717308044,0.0,5865.1,61.7,0.032,False
"Minneapolis, MN",flood-focused,all_gi,50,2,39.66,0.367000013589859,0.0,5865.1,61.7,0.032,False
"Minneapolis, MN",flood-focused,all_gi,50,3,39.66,0.36730000376701355,0.0,5865.1,61.7,0.032,False
"Minneapolis, MN",flood-focused,all_gi,50,4,39.66,0.36719998717308044,0.0,5865.1,61.7,0.032,False
"Minneapolis, MN",flood-focused,all_gi,50,5,39.66,0.3671000003814697,0.0,5865.1,61.7,0.032,False
"Minneapolis, MN",flood-focused,all_gi,50,6,39.66,0.367000013589859,0.0,5865.1,61.7,0.032,False
"Minneapolis, MN",flood-focused,all_gi,50,7,39.66,0.3668999969959259,0.0,5865.1,61.7,0.033,False
"Minneapolis, MN",flood-focused,all_gi,50,8,39.65,0.3671000003814697,0.0,5865.1,61.8,0.031,False
"Minneapolis, MN",flood-focused,all_gi,50,9,39.66,0.36730000376701355,0.0,5865.1,61.7,0.031,False
"Minneapolis, MN",flood-focused,all_ff,10,0,24.6,0.22190000116825104,6.744,2052.6,375.4,0.029,False
"Minneapolis, MN",flood-focused,all_ff,10,1,24.6,0.22169999778270721,6.744,2052.6,375.4,0.029,False
"Minneapolis, MN",flood-focused,all_ff,10,2,24.6,0.22190000116825104,6.744,2052.6,375.4,0.03,False
"Minneapolis, MN",flood-focused,all_ff,10,3,24.6,0.22179999947547913,6.744,2052.6,375.4,0.029,False
"Minneapolis, MN",flood-focused,all_ff,10,4,24.6,0.22179999947547913,6.744,2052.6,375.4,0.029,False
"Minneapolis, MN",flood-focused,all_ff,10,5,24.6,0.22179999947547913,6.744,2052.6,375.4,0.028,False
"Minneapolis, MN",flood-focused,all_ff,10,6,24.6,0.22169999778270721,6.744,2052.6,375.4,0.028,False
"Minneapolis, MN",flood-focused,all_ff,10,7,24.6,0.22179999947547913,6.744,2052.6,375.4,0.028,False
"Minneapolis, MN",flood-focused,all_ff,10,8,24.6,0.22169999778270721,6.744,2052.6,375.4,0.028,False
"Minneapolis, MN",flood-focused,all_ff,10,9,24.59,0.2215999960899353,6.744,2052.6,375.7,0.029,False
"Minneapolis, MN",flood-focused,all_ff,25,0,25.0,0.26809999346733093,16.862,5132.0,363.1,0.031,False
"Minneapolis, MN",flood-focused,all_ff,25,1,24.99,0.2680000066757202,16.862,5132.0,363.4,0.03,False
"Minneapolis, MN",flood-focused,all_ff,25,2,24.99,0.2680000066757202,16.862,5132.0,363.4,0.03,False
"Minneapolis, MN",flood-focused,all_ff,25,3,25.0,0.2680000066757202,16.862,5132.0,363.1,0.032,False
"Minneapolis, MN",flood-focused,all_ff,25,4,24.99,0.2678999900817871,16.862,5132.0,363.4,0.031,False
"Minneapolis, MN",flood-focused,all_ff,25,5,24.99,0.2676999866962433,16.862,5132.0,363.4,0.031,False
"Minneapolis, MN",flood-focused,all_ff,25,6,24.99,0.2678999900817871,16.862,5132.0,363.4,0.032,False
"Minneapolis, MN",flood-focused,all_ff,25,7,24.99,0.2678000032901764,16.862,5132.0,363.4,0.031,False
"Minneapolis, MN",flood-focused,all_ff,25,8,25.0,0.26829999685287476,16.862,5132.0,363.1,0.031,False
